"SourceRoot","RelativePath","FileName","Extension","SizeBytes","Category","LayerCandidate","FunctionalRole","ContainsArabicText","MissingFromActiveByName","SameHashAsActiveWorkspace","SameHashAsActiveCompiled","NamespaceCount","Namespaces","TypeCount","Types","MethodLikeMemberCount","UsingCount"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/Xfs/IXfsVendorAdapter.cs","IXfsVendorAdapter.cs",".cs","268","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Xfs","1","IXfsVendorAdapter","0","1"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/Xfs/XfsAdapterRegistry.cs","XfsAdapterRegistry.cs",".cs","1566","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Xfs","1","XfsAdapterRegistry","2","4"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Core/Xfs/XfsEventModels.cs","XfsEventModels.cs",".cs","3253","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","False","False","True","True","1","EJLive.Core.Xfs","6","XfsVendor;XfsSourceLayer;XfsEventKind;XfsSeverity;XfsNormalizedEvent;XfsCassetteSnapshot","0","2"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Installer.WinForms/Program.cs","Program.cs",".cs","349","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","False","False","1","EJLive.Installer.WinForms","1","Program","0","2"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Monitoring.WinForms/Program.cs","Program.cs",".cs","354","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","False","False","1","EJLive.Monitoring.WinForms","1","Program","0","2"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Server.WinForms/Program.cs","Program.cs",".cs","347","CSharp Source","Reference/Future Development","Preserved C# implementation requiring scenario comparison before promotion.","False","False","False","False","1","EJLive.Server.WinForms","1","Program","0","2"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Shared/EJLive.Shared.csproj","EJLive.Shared.csproj",".csproj","2443","CSharp Project","Data/Core Layer","Original project file used for dependency and assembly mapping.","False","False","False","False","0","","0","","0","0"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Shared/MonitoringState.cs","MonitoringState.cs",".cs","2930","CSharp Source","Data/Core Layer","Preserved C# implementation requiring scenario comparison before promotion.","False","False","True","True","1","EJLive.Shared.Monitoring","4","MonitoringSystemState;MonitoringTerminalState;MonitoringCashState;MonitoringAlertEntry","0","2"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Shared/MonitoringStateStore.cs","MonitoringStateStore.cs",".cs","9512","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Shared.Monitoring","1","MonitoringStateStore","17","7"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.Shared/SecurityHelper.cs","SecurityHelper.cs",".cs","8878","Data/Core Source","Data/Core Layer","Preserved core model, protocol, constant, data, or utility behavior.","True","False","False","False","1","EJLive.Shared","1","SecurityHelper","16","19"
"EJLive_Enterprise_20260510_build_candidate","EJLive_Enterprise_20260510_build_candidate/EJLive_Enterprise_20260510_build_candidate/EJLive.sln","EJLive.sln",".sln","3548","Solution","Project Structure","Original solution file used for project graph comparison.","False","True","False","False","0","","0","","0","0"
